Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity
0x02ee550b74d74dc8a467a2d840b270640049632f60ad1fc12725db69dbb3119c,8767934,1571443263,10/19/2019 12:01:03 AM,0x48996b1cdda408aa47bf15b96c463f6d44b1dc67,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,181.28
0x5a1efb2c9bc691183ef1493ca2d7cd35c757818aeb9a3ea63aec35a2b8dff339,8767998,1571443978,10/19/2019 12:12:58 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0xae9e8e8e296066dd99503ed42cfade25474640ff,98
0x2013919888ad9da0394c709a5b3e639cacdf0713fc9ebd98efe9a276daa4fffc,8768157,1571446033,10/19/2019 12:47:13 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0x030fd2f4c7de5916ed191b764c0cc6038d3c691b,8021
0xe059872df210460a2ecbf3f861e80ec06cceb71377b385c0728589523f79546b,8768195,1571446634,10/19/2019 12:57:14 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0x5fb20ad541e59e81cd745405c43beb43537bf93c,19885.5
0x0c4ebfd2bdee305e2830a6b3dee1f94abf45cf61530995607b7bac47c838968e,8768205,1571446925,10/19/2019 1:02:05 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0xc4b8e3c00b9393f2efdd842c5233c6a032179ea9,1490.05
0x070eae4e4454fa9d1dde6ffee78aeeceab420108dc7e9c286711cfa60a1f25c9,8768219,1571447111,10/19/2019 1:05:11 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0xbee60f9feae6e4d0a9fc71b6f0c41878fc39dc09,38.33
0xf1238510dd30cea02c3857b767047112b0539e7b8d0a39a21a0a153e63519d3f,8768222,1571447156,10/19/2019 1:05:56 AM,0xc4b8e3c00b9393f2efdd842c5233c6a032179ea9,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,1490.05
0xac80bead242836881007052aacc6c6101a9256dfeb5ac52ddb8c3dcd4d244ab1,8768256,1571447766,10/19/2019 1:16:06 AM,0x925fed5e1e187318315d48873934a601cded62ff,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,1999
0x7cc1ef6b67c029fe166020551b63d97fc810854a67a39193cf96786efd2ff6b3,8768262,1571447823,10/19/2019 1:17:03 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0xb90e5a8c89903330c59e887fa1060798cbf104bc,315.34
0x597d88866cc20da985489079d9c0224ffce1d22b4ca32f61723378979bca77d5,8768306,1571448375,10/19/2019 1:26:15 AM,0xe1e332ea8204bda6a479eb29257ebad649455783,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,54.69
0xd5870d0ee8a1fd838c2194a61dbc9f4970724ab6c8aae3b32bd9e11c58f2451d,8768395,1571449508,10/19/2019 1:45:08 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0x8823f06a926a71ef8b872e618accf9a09d5ff12a,558.81
0x786cbb01cd3951a5fc41433a76c1cc10ccf3ec8f9ae6c1bcdba2b505ecaaa522,8768465,1571450224,10/19/2019 1:57:04 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0x85f2af2286b18f894ffcced142e962fb6f80e127,578.07
0x7f5b52dfe289516b7b3c63f770a5343d60e0d74a891f5109fbea82d8212d5443,8768465,1571450224,10/19/2019 1:57:04 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0x6686dcab2b779edc8997e1bd97823fcd8bda5165,862.63
0xff3ff54478697c3ba68c6d7459dfd7a5d8556f0803f0f9b90ca0f5f80c0c0e9d,8768466,1571450225,10/19/2019 1:57:05 AM,0xc4b8e3c00b9393f2efdd842c5233c6a032179ea9,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,507.1
0x71c5f9b74fbb1b78d7226fe74bc858ea90bc2048cc6d90d7a46d75025a808919,8768474,1571450356,10/19/2019 1:59:16 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0xe141858e9c7bd5083ab060664859742d1b28fc54,121.01
0x138bc88a9bc8108853188be41873145a144653f5b9f51cd22e66b94e657fc1a7,8768512,1571450878,10/19/2019 2:07:58 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0x7e2cf3c60baeae48ce0c7a022505ace230008d97,698
0xd8d3ba5b627639555b676a2d6468172565e7c695e35d990a07d8d5f78e1c551e,8768531,1571451142,10/19/2019 2:12:22 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0xc7e45e647cc672975fa1fc430ccd759ad5b037c3,696
0xe7e038eda83e9e1a1decdfd1033bae3d47ac4b68178af15a41e14be6b6a47ee8,8768531,1571451142,10/19/2019 2:12:22 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0x040fe766c1624dc0811f451f29140877717dc4a2,356.75
0xcbb8e42ff8537a49fb3de1f225e340f3298130bde19613e2a458143eeb482868,8768541,1571451240,10/19/2019 2:14:00 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0x5fb20ad541e59e81cd745405c43beb43537bf93c,13097.03
0xe4a1551e4328f2f30b2e831da7a7e69f219107cb84d2ba8dec530ce62e7c1004,8768544,1571451262,10/19/2019 2:14:22 AM,0xf8f8362176293a7465c4dc67c8a1002a929a278d,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,1500
0x13188b792fe36588fe3840cdbc5e1742e5b4c9219f4d9e8741bc00a4808c8a02,8768545,1571451265,10/19/2019 2:14:25 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0xbf6b500c1d076ccfe2686e76748a20f41e86fa0b,579.18
0x16674e99e234aa8d9c7bd707dd48ebe7f2dc2bee993e37a569c769bec2bf9c19,8768555,1571451416,10/19/2019 2:16:56 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0xa0461ca0b614d0be2d6a16c4175c0a60aeb8f3dc,1000.79
0xd36584a14acb0dafc4b78dda754386e070cd514199b72e8db4c844bbac930b4c,8768587,1571451844,10/19/2019 2:24:04 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0x3dfbfbd76b1bce09831247760bc6dcc649206328,433.72
0xa9139abb014a2bfe34a4ad1bd95a04f787e0630a895e9aaa2f64e1707ea83346,8768588,1571451875,10/19/2019 2:24:35 AM,0xeee9592d9661deadca0cb5a6f82f1deb1b82c19b,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,13728.6
0x849cc5a4a13528cbfe44c4a5f4378ac76779c9c64a44dde5cdd6009e338f587e,8768628,1571452486,10/19/2019 2:34:46 AM,0xa09d1951b633759c20ee3d171237340c217e063c,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,1999
0xcd2b80663549c952e59411dc5e18cbdaefd933cc95aec9584f71799060b52e88,8768638,1571452634,10/19/2019 2:37:14 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0xcb9b267937136b48c54bc88190cc134b059a01e5,573.03
0x7c9a980d92b3efc7018a215d41af7c7aeb9befa4a49fb2e02ead261d1cbcc6e3,8768639,1571452709,10/19/2019 2:38:29 AM,0xc4a749f8645e9353c04c4c3cee6d7d424574d8a3,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,1999
0x0fc661dc43d54ba1002fb9847d0a8d20cf9e00961557ce42886dfaaf19cbe77e,8768639,1571452709,10/19/2019 2:38:29 AM,0x4addd68799913438cbce58ea91d9701aa9649ad8,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,1999
0x8a03e58fef8e799ba74ffb7a4f08c52c3e97b7ece61797311a804da72b315d03,8768679,1571453171,10/19/2019 2:46:11 AM,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,0x6d78232a9f43d3b0ad6e5a841568762da6bd3ba4,1133.97
