"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity"
"0x5d49cbf80685bcd24294fe8e739c81ac2f83eed7db03d8f12259791d40424bd2","9194161","1577853139","1/1/2020 4:32:19 AM","0xbf9265cc324e6e2ae8624fb584b1636d3bc00ff3","0xc3106747afa6546791166c34902db57aeda9f49e","140"
"0xe8c85afee6f9ef17f2132891ae1008e94e3e2d50808dc52d87586ea9eee908da","9194162","1577853165","1/1/2020 4:32:45 AM","0xbf9265cc324e6e2ae8624fb584b1636d3bc00ff3","0x477dcf169ff73bec8c71839d886b00a944f6f384","1496.81293"
"0xece521b4a443b809e1cddd8862028b6bc7b4d2d216f74827d2d508d65a09e2c8","9194735","1577862931","1/1/2020 7:15:31 AM","0xe8bdf6edf278271faa520e4b562e972c89d91c31","0xbf9265cc324e6e2ae8624fb584b1636d3bc00ff3","40000"
"0x2ca4eae6a3cb44cb8a21854215563959b40bbf831e4490f1f54ad833b3ba4e6b","9194867","1577865380","1/1/2020 7:56:20 AM","0xbf9265cc324e6e2ae8624fb584b1636d3bc00ff3","0xe1a6b8303e2c683b7f8015c3aa3d558618b0b6be","135.446669"
"0x751b6e0bc97b3f846d25ce63e6c25e1c67e9ac2b1f1dc3678d8c9430b9d2d898","9195076","1577868987","1/1/2020 8:56:27 AM","0xbf9265cc324e6e2ae8624fb584b1636d3bc00ff3","0xbf63d09a26c6f8fc9f9dbb5539a4b839ce8a3a79","20000"
"0x4641bd07b8c6ce282ef5383a362d9ba117e335512b04937b2d7411679299eb09","9195655","1577879465","1/1/2020 11:51:05 AM","0xbf9265cc324e6e2ae8624fb584b1636d3bc00ff3","0x228f7d2f7d53280797b5c3caf7de4deffeebbf40","591.077646"
"0xb5f5787a895c27db951ff95cb53a34cb89383f9a3b9f956a8477b6a079ae54b1","9196298","1577889667","1/1/2020 2:41:07 PM","0xbf9265cc324e6e2ae8624fb584b1636d3bc00ff3","0x5323c1d7e0e26238964e92b787b17ad792ae1eb9","882.368679"
"0xd55403ac4d22df086bb59afa485f137b96894aa263622fbe410d8ca717c1f71b","9196444","1577892244","1/1/2020 3:24:04 PM","0xbf9265cc324e6e2ae8624fb584b1636d3bc00ff3","0x9d93d051f6140a20453aa9a35b5487dab4888ce8","177.855424"
"0x01e15286d1a76bb27378a882b37bf58ec1197aed7bf0c0b2318c642a1e02ef96","9196762","1577898112","1/1/2020 5:01:52 PM","0xbf9265cc324e6e2ae8624fb584b1636d3bc00ff3","0xe1a6b8303e2c683b7f8015c3aa3d558618b0b6be","146"
"0xa74915f6d0625583aeaec7f11c9a8a98e235905522de48d03e836bdc6a1a0649","9198217","1577922709","1/1/2020 11:51:49 PM","0xbf9265cc324e6e2ae8624fb584b1636d3bc00ff3","0xab9c2e64974b33ce131fcd30b3bdc44c5d9ba82a","233.3"
"0x0da5d0043ce4b3d635298a99fae7ec5450ea2b55312d33b123f6e967395a5fb3","9198698","1577930869","1/2/2020 2:07:49 AM","0xbf9265cc324e6e2ae8624fb584b1636d3bc00ff3","0x9a8c840c5f8e162ccd86bb2aaa16fbcced45b05e","633.692359"
"0x2073def4c083b05c2ab0b68a8cf3943c4f9cc5c34fcdd8a688126823f438f46b","9198711","1577931083","1/2/2020 2:11:23 AM","0xbf9265cc324e6e2ae8624fb584b1636d3bc00ff3","0x91c33201426c98670705d6838efe50177816a10d","73.83169"
"0x7ebccdf509d79652aad5a32afe9d1317cbba8ed097cf01b2e99f2749e599fc8b","9198756","1577931959","1/2/2020 2:25:59 AM","0xbf9265cc324e6e2ae8624fb584b1636d3bc00ff3","0xee94cfd7409a678672681a44905009870ea53f21","689.800484"
"0x9bd9ce44393f1148033cc9934dc7511a6f86c0933ae25224b30eab296f61c64f","9198967","1577935964","1/2/2020 3:32:44 AM","0xbf9265cc324e6e2ae8624fb584b1636d3bc00ff3","0x749024eb8b4cd35b1742c24f02716d1a51e2f7a9","10"
